InChI,RT
"InChI=1S/C43H87N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-42(46)41(40-51-52(48,49)50-39-38-45(3,4)5)44-43(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h34,36,41-42,46H,6-33,35,37-40H2,1-5H3,(H-,44,47,48,49)/b36-34+",645.105
"InChI=1S/C47H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h24-25,30,32,38,40,45-46,50H,6-23,26-29,31,33-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/b25-24-,32-30+,40-38+",664.2042
"InChI=1S/C46H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-28-30-32-34-36-38-40-46(50)47-44(43-54-55(51,52)53-42-41-48(3,4)5)45(49)39-37-35-33-31-29-27-19-17-15-13-11-9-7-2/h29,31,37,39,44-45,49H,6-28,30,32-36,38,40-43H2,1-5H3,(H-,47,50,51,52)/b31-29+,39-37+",702.6186
"InChI=1S/C45H89N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-45(49)46-43(42-53-54(50,51)52-41-40-47(3,4)5)44(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h28,30,36,38,43-44,48H,6-27,29,31-35,37,39-42H2,1-5H3,(H-,46,49,50,51)/b30-28+,38-36+",661.4844
"InChI=1S/C39H77N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-38(42)37(36-47-48(44,45)46-35-34-41(3,4)5)40-39(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h22,24,30,32,37-38,42H,6-21,23,25-29,31,33-36H2,1-5H3,(H-,40,43,44,45)/b24-22+,32-30+",512.44734
"InChI=1S/C48H95N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-30-32-34-36-38-40-42-48(52)49-46(45-56-57(53,54)55-44-43-50(3,4)5)47(51)41-39-37-35-33-31-29-19-17-15-13-11-9-7-2/h25-26,39,41,46-47,51H,6-24,27-38,40,42-45H2,1-5H3,(H-,49,52,53,54)/b26-25-,41-39+",771.1524
"InChI=1S/C47H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h8,10,14,16,38,40,45-46,50H,6-7,9,11-13,15,17-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/b10-8-,16-14-,40-38+",665.8152
"InChI=1S/C47H93N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h24-25,38,40,45-46,50H,6-23,26-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/b25-24-,40-38+",733.4069999999999
"InChI=1S/C47H95N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h38,40,45-46,50H,6-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/b40-38+",784.1139000000001
"InChI=1S/C46H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-28-30-32-34-36-38-40-46(50)47-44(43-54-55(51,52)53-42-41-48(3,4)5)45(49)39-37-35-33-31-29-27-19-17-15-13-11-9-7-2/h23-24,37,39,44-45,49H,6-22,25-36,38,40-43H2,1-5H3,(H-,47,50,51,52)/b24-23-,39-37+",684.5586
"InChI=1S/C46H93N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-28-30-32-34-36-38-40-46(50)47-44(43-54-55(51,52)53-42-41-48(3,4)5)45(49)39-37-35-33-31-29-27-19-17-15-13-11-9-7-2/h37,39,44-45,49H,6-36,38,40-43H2,1-5H3,(H-,47,50,51,52)/b39-37+",772.9205999999999
"InChI=1S/C45H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-45(49)46-43(42-53-54(50,51)52-41-40-47(3,4)5)44(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h36,38,43-44,48H,6-35,37,39-42H2,1-5H3,(H-,46,49,50,51)/b38-36+",732.6732
"InChI=1S/C44H89N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-26-28-30-32-34-36-38-44(48)45-42(41-52-53(49,50)51-40-39-46(3,4)5)43(47)37-35-33-31-29-27-25-19-17-15-13-11-9-7-2/h35,37,42-43,47H,6-34,36,38-41H2,1-5H3,(H-,45,48,49,50)/b37-35+",687.2646
"InChI=1S/C43H87N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-43(47)44-41(40-51-52(48,49)50-39-38-45(3,4)5)42(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h34,36,41-42,46H,6-33,35,37-40H2,1-5H3,(H-,44,47,48,49)/b36-34+",648.3489
"InChI=1S/C41H83N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h32,34,39-40,44H,6-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/b34-32+",585.7698
"InChI=1S/C39H79N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-38(42)37(36-47-48(44,45)46-35-34-41(3,4)5)40-39(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h30,32,37-38,42H,6-29,31,33-36H2,1-5H3,(H-,40,43,44,45)/b32-30+",540.97017
"InChI=1S/C35H71N2O6P/c1-6-8-10-12-14-16-17-18-19-21-22-24-26-28-34(38)33(32-43-44(40,41)42-31-30-37(3,4)5)36-35(39)29-27-25-23-20-15-13-11-9-7-2/h26,28,33-34,38H,6-25,27,29-32H2,1-5H3,(H-,36,39,40,41)/b28-26+",480.16248
"InChI=1S/C47H95N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h24-25,45-46,50H,6-23,26-44H2,1-5H3,(H-,48,51,52,53)/b25-24-",766.5552
"InChI=1S/C45H93N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-45(49)46-43(42-53-54(50,51)52-41-40-47(3,4)5)44(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h43-44,48H,6-42H2,1-5H3,(H-,46,49,50,51)",766.3410000000001
"InChI=1S/C43H89N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-43(47)44-41(40-51-52(48,49)50-39-38-45(3,4)5)42(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h41-42,46H,6-40H2,1-5H3,(H-,44,47,48,49)",678.1224
"InChI=1S/C38H77N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-38(42)39-36(35-46-47(43,44)45-34-33-40(3,4)5)37(41)31-29-27-25-23-21-19-17-15-13-11-9-7-2/h29,31,36-37,41H,6-28,30,32-35H2,1-5H3,(H-,39,42,43,44)/b31-29+",522.74916
"InChI=1S/C50H74NO10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-48(52)58-43-46(44-59-62(56,57)60-45-47(51)50(54)55)61-49(53)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35-38,46-47H,3-4,9-10,15-16,21-22,27-28,33-34,39-45,51H2,1-2H3,(H,54,55)(H,56,57)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-",482.32146
"InChI=1S/C48H74NO10P/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-40-47(51)59-44(42-57-60(54,55)58-43-45(49)48(52)53)41-56-46(50)39-37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,22,24-25,27-28,30,34,36,44-45H,3-4,9-10,15-16,21,23,26,29,31-33,35,37-43,49H2,1-2H3,(H,52,53)(H,54,55)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,24-22-,27-25-,30-28-,36-34-",484.39578000000006
"InChI=1S/C46H76NO10P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(49)57-42(40-55-58(52,53)56-41-43(47)46(50)51)39-54-44(48)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-23,26,28,32,34,42-43H,3-4,6,8-10,12,14-16,20,24-25,27,29-31,33,35-41,47H2,1-2H3,(H,50,51)(H,52,53)/b7-5-,13-11-,19-17-,22-21-,23-18-,28-26-,34-32-",500.73552
